scene_id,path_id,status,instruction,instruction_length,start_viewpoint,goal_viewpoint,planned_path,ground_truth_path,planned_path_length,ground_truth_length,planned_distance,ground_truth_distance,path_length_ratio,distance_ratio,success
17DRP5sb8fy,3399,success,Go straight and pass the bar with the chair/stools then pass the clear glass table with the white chairs and turn right. Wait in that hallway.,26,10c252c90fa24ef3b698c6f54d984c5c,da5fa65c13e643719a20cbb818c9a85d,"['10c252c90fa24ef3b698c6f54d984c5c', '77a1a11978b04e9cbf74914c98578ab8', 'b185432bf33645aca813ac2a961b4140', '5e9f4f8654574e699480e90ecdd150c8', '08c774f20c984008882da2b8547850eb', 'da5fa65c13e643719a20cbb818c9a85d']","['10c252c90fa24ef3b698c6f54d984c5c', '77a1a11978b04e9cbf74914c98578ab8', 'b185432bf33645aca813ac2a961b4140', '5e9f4f8654574e699480e90ecdd150c8', '08c774f20c984008882da2b8547850eb', 'da5fa65c13e643719a20cbb818c9a85d']",6,6,6.055930317941849,6.055930317941849,1.0,1.0,True
17DRP5sb8fy,3399,success,"With the painting of the mermaid towards your right, head straight. After passing the counter towards your right, turn right and wait.",22,10c252c90fa24ef3b698c6f54d984c5c,da5fa65c13e643719a20cbb818c9a85d,"['10c252c90fa24ef3b698c6f54d984c5c', '77a1a11978b04e9cbf74914c98578ab8', 'b185432bf33645aca813ac2a961b4140', '5e9f4f8654574e699480e90ecdd150c8', '08c774f20c984008882da2b8547850eb', 'da5fa65c13e643719a20cbb818c9a85d']","['10c252c90fa24ef3b698c6f54d984c5c', '77a1a11978b04e9cbf74914c98578ab8', 'b185432bf33645aca813ac2a961b4140', '5e9f4f8654574e699480e90ecdd150c8', '08c774f20c984008882da2b8547850eb', 'da5fa65c13e643719a20cbb818c9a85d']",6,6,6.055930317941849,6.055930317941849,1.0,1.0,True
17DRP5sb8fy,3399,success,Walk past the large picture and chair. Walk past the dining room table turn right into the hallway and stop.,20,10c252c90fa24ef3b698c6f54d984c5c,da5fa65c13e643719a20cbb818c9a85d,"['10c252c90fa24ef3b698c6f54d984c5c', '77a1a11978b04e9cbf74914c98578ab8', 'b185432bf33645aca813ac2a961b4140', '5e9f4f8654574e699480e90ecdd150c8', '08c774f20c984008882da2b8547850eb', 'da5fa65c13e643719a20cbb818c9a85d']","['10c252c90fa24ef3b698c6f54d984c5c', '77a1a11978b04e9cbf74914c98578ab8', 'b185432bf33645aca813ac2a961b4140', '5e9f4f8654574e699480e90ecdd150c8', '08c774f20c984008882da2b8547850eb', 'da5fa65c13e643719a20cbb818c9a85d']",6,6,6.055930317941849,6.055930317941849,1.0,1.0,True
gTV8FGcVJC9,818,success,Exit through the double doors and go down the first half of stairs located to your right. Wait on the landing just in front of the flowers.,27,3e35871a75e542e7ae042682b6e9faed,8d4b6c6b93934835a39c391d39f5a537,"['3e35871a75e542e7ae042682b6e9faed', 'bbd00fa328db45e19a55bef3b3cb4b23', '7d0855f289224c24b83f2b19b15c1d6d', '30ac7a9f6c8d4bc4b27b7b2782f2eb99', '8d4b6c6b93934835a39c391d39f5a537']","['3e35871a75e542e7ae042682b6e9faed', 'bbd00fa328db45e19a55bef3b3cb4b23', '7d0855f289224c24b83f2b19b15c1d6d', '30ac7a9f6c8d4bc4b27b7b2782f2eb99', '8d4b6c6b93934835a39c391d39f5a537']",5,5,8.48123900565236,8.48123900565236,1.0,1.0,True
gTV8FGcVJC9,818,success,Walk out of the room and go down the stairs. Stop in the middle of the landing on the stairs next to the flowers.,24,3e35871a75e542e7ae042682b6e9faed,8d4b6c6b93934835a39c391d39f5a537,"['3e35871a75e542e7ae042682b6e9faed', 'bbd00fa328db45e19a55bef3b3cb4b23', '7d0855f289224c24b83f2b19b15c1d6d', '30ac7a9f6c8d4bc4b27b7b2782f2eb99', '8d4b6c6b93934835a39c391d39f5a537']","['3e35871a75e542e7ae042682b6e9faed', 'bbd00fa328db45e19a55bef3b3cb4b23', '7d0855f289224c24b83f2b19b15c1d6d', '30ac7a9f6c8d4bc4b27b7b2782f2eb99', '8d4b6c6b93934835a39c391d39f5a537']",5,5,8.48123900565236,8.48123900565236,1.0,1.0,True
gTV8FGcVJC9,818,success,Walk through the doorway directly in front of you and turn to the right. Walk down the stairs. Stop when you get to the landing.,25,3e35871a75e542e7ae042682b6e9faed,8d4b6c6b93934835a39c391d39f5a537,"['3e35871a75e542e7ae042682b6e9faed', 'bbd00fa328db45e19a55bef3b3cb4b23', '7d0855f289224c24b83f2b19b15c1d6d', '30ac7a9f6c8d4bc4b27b7b2782f2eb99', '8d4b6c6b93934835a39c391d39f5a537']","['3e35871a75e542e7ae042682b6e9faed', 'bbd00fa328db45e19a55bef3b3cb4b23', '7d0855f289224c24b83f2b19b15c1d6d', '30ac7a9f6c8d4bc4b27b7b2782f2eb99', '8d4b6c6b93934835a39c391d39f5a537']",5,5,8.48123900565236,8.48123900565236,1.0,1.0,True
XcA2TqTSSAj,3100,success,Exit the bathroom to the bedroom. Exit the bedroom using the door on the left then go straight until you get to the stairs and wait on the second step.,30,eb7c8095d2514ab7a84732fa41ed3594,8fcf0b6f46b8465ab762e45a0060f6f0,"['eb7c8095d2514ab7a84732fa41ed3594', 'e3b1895ff0cb41b19be7fb13aa4e8d9a', '3510eb416b7d4d779881abc5b5cf2cec', 'ec0421cc61c64f6f8692d327d6838fd5', 'b6985ed68dd8405e969fcbbcd6dfcc42', '213a5fa207dc491894df2f4405c40838', '8fcf0b6f46b8465ab762e45a0060f6f0']","['eb7c8095d2514ab7a84732fa41ed3594', 'bf22e389bd754181924923b4f5e0fe02', 'c43ed5913b6d45e5aa3b782bfa860805', 'ec0421cc61c64f6f8692d327d6838fd5', 'b6985ed68dd8405e969fcbbcd6dfcc42', '213a5fa207dc491894df2f4405c40838', '8fcf0b6f46b8465ab762e45a0060f6f0']",7,7,12.74452292059554,10.835334120176,1.0,1.1762002702680412,True
XcA2TqTSSAj,3100,success,"Walk out of the bathroom into the bedroom and turn left. Continue out the bedroom door, turning left to wait at the top of the stairs.",26,eb7c8095d2514ab7a84732fa41ed3594,8fcf0b6f46b8465ab762e45a0060f6f0,"['eb7c8095d2514ab7a84732fa41ed3594', 'e3b1895ff0cb41b19be7fb13aa4e8d9a', '3510eb416b7d4d779881abc5b5cf2cec', 'ec0421cc61c64f6f8692d327d6838fd5', 'b6985ed68dd8405e969fcbbcd6dfcc42', '213a5fa207dc491894df2f4405c40838', '8fcf0b6f46b8465ab762e45a0060f6f0']","['eb7c8095d2514ab7a84732fa41ed3594', 'bf22e389bd754181924923b4f5e0fe02', 'c43ed5913b6d45e5aa3b782bfa860805', 'ec0421cc61c64f6f8692d327d6838fd5', 'b6985ed68dd8405e969fcbbcd6dfcc42', '213a5fa207dc491894df2f4405c40838', '8fcf0b6f46b8465ab762e45a0060f6f0']",7,7,12.74452292059554,10.835334120176,1.0,1.1762002702680412,True
XcA2TqTSSAj,3100,success,Walk out of the bathroom and turn left. Walk along the hallway passed the white painting and the other bathroom. Turn left towards the stairs. Walk down three of the stairs and wait on there.,35,eb7c8095d2514ab7a84732fa41ed3594,8fcf0b6f46b8465ab762e45a0060f6f0,"['eb7c8095d2514ab7a84732fa41ed3594', 'e3b1895ff0cb41b19be7fb13aa4e8d9a', '3510eb416b7d4d779881abc5b5cf2cec', 'ec0421cc61c64f6f8692d327d6838fd5', 'b6985ed68dd8405e969fcbbcd6dfcc42', '213a5fa207dc491894df2f4405c40838', '8fcf0b6f46b8465ab762e45a0060f6f0']","['eb7c8095d2514ab7a84732fa41ed3594', 'bf22e389bd754181924923b4f5e0fe02', 'c43ed5913b6d45e5aa3b782bfa860805', 'ec0421cc61c64f6f8692d327d6838fd5', 'b6985ed68dd8405e969fcbbcd6dfcc42', '213a5fa207dc491894df2f4405c40838', '8fcf0b6f46b8465ab762e45a0060f6f0']",7,7,12.74452292059554,10.835334120176,1.0,1.1762002702680412,True
jh4fc5c5qoQ,4855,success,Walk past the couch and the oven to the front door. Walk out the door and stop on the entrance mat outside.,22,abbdc7ac89204f23a935fcb9ccae887c,c91341f14a4f499e8b45d128091ed087,"['abbdc7ac89204f23a935fcb9ccae887c', '97739a403b984dcd8253741a073b18dd', '3182b6eba9ce405f9e1c0af86cc6b862', '39791f422b0244aa84b3d41d9b218f7e', 'c91341f14a4f499e8b45d128091ed087']","['abbdc7ac89204f23a935fcb9ccae887c', '97739a403b984dcd8253741a073b18dd', '3182b6eba9ce405f9e1c0af86cc6b862', '39791f422b0244aa84b3d41d9b218f7e', 'c91341f14a4f499e8b45d128091ed087']",5,5,5.458480538018425,5.458480538018425,1.0,1.0,True
